10	300
Abel_Pacheco	1	4
Akhmed_Zakayev	1	3
Akhmed_Zakayev	2	3
Amber_Tamblyn	1	2
Anders_Fogh_Rasmussen	1	3
Anders_Fogh_Rasmussen	1	4
Angela_Bassett	1	5
Angela_Bassett	2	5
Angela_Bassett	3	4
Ann_Veneman	3	5
Ann_Veneman	6	10
Ann_Veneman	10	11
Anthony_Fauci	1	2
Antony_Leung	1	2
Antony_Leung	2	3
Anwar_Ibrahim	1	2
Augusto_Pinochet	1	2
Barbara_Brezigar	1	2
Benjamin_Netanyahu	1	4
Benjamin_Netanyahu	4	5
Bernard_Law	2	3
Bernard_Law	3	4
Bertrand_Bonello	1	2
Bill_Frist	2	9
Bill_Frist	4	5
Bob_Graham	2	4
Bob_Graham	3	6
Bob_Graham	4	6
Bob_Graham	5	6
Boris_Becker	2	6
Brad_Johnson	1	3
Brad_Johnson	2	3
Brad_Johnson	2	4
Brian_Griese	1	2
Candice_Bergen	1	2
Candice_Bergen	2	3
Carla_Myers	1	2
Cathy_Freeman	1	2
Chang_Dae-whan	1	2
Charles_Grassley	1	2
Clare_Short	1	3
Clare_Short	1	4
Corinne_Coman	1	2
Dai_Bachtiar	1	2
Dale_Earnhardt_Jr	1	3
David_Caruso	1	2
Demi_Moore	1	3
Dick_Vermeil	1	2
Doris_Roberts	1	2
Doris_Roberts	1	3
Drew_Barrymore	1	2
Edmund_Stoiber	4	7
